Date,Time,Junction,Car,Motorcycle,Bus,Truck,Total
2023-09-11,12:00,T44F1,31,54,0,3,88
2023-09-11,12:15,T44F1,25,60,0,1,86
2023-09-11,12:30,T44F1,61,73,0,3,137
2023-09-11,12:45,T44F1,0,0,0,0,0
2023-09-11,12:00,T44F1,66,114,0,7,187
2023-09-11,12:15,T44F1,68,110,0,5,183
2023-09-11,12:30,T44F1,169,165,0,5,339
2023-09-11,12:45,T44F1,278,189,0,4,471
2023-09-11,17:00,T44F1,193,220,0,9,422
2023-09-11,17:15,T44F1,135,180,0,6,321
2023-09-11,17:30,T44F1,143,242,0,6,391
2023-09-11,17:45,T44F1,183,197,0,8,388
2023-09-11,18:00,T44F1,0,0,0,0,0
2023-09-05,12:00,T44F1,65,86,0,11,162
2023-09-05,12:15,T44F1,105,148,0,11,264
2023-09-05,12:00,T44F1,31,56,0,8,95
2023-09-05,12:00,T44F1,32,72,0,8,112
2023-09-05,12:00,T44F1,145,164,0,26,335
2023-09-05,12:15,T44F1,143,236,0,15,394
2023-09-05,12:30,T44F1,96,182,0,22,300
2023-09-05,12:45,T44F1,141,178,0,6,325
2023-09-05,13:00,T44F1,0,0,0,0,0
2023-09-05,12:00,T44F1,353,311,0,36,700
2023-09-05,12:15,T44F1,247,330,0,22,599
2023-09-05,12:30,T44F1,162,297,0,30,489
2023-09-05,12:00,T44F1,144,137,0,20,301
2023-09-05,12:15,T44F1,151,263,0,15,429
2023-09-05,12:30,T44F1,100,193,0,22,315
2023-09-05,12:45,T44F1,140,183,0,5,328
2023-09-05,13:00,T44F1,0,0,0,0,0
2023-09-05,12:00,T44F3,107,117,0,24,248
2023-09-05,12:00,T44F1,280,223,0,26,529
2023-09-05,12:15,T44F1,227,332,0,23,582
2023-09-05,12:30,T44F1,161,292,0,30,483
2023-09-05,12:15,T44F3,150,171,5,24,350
2023-09-05,12:00,T44F2,68,114,0,11,193
2023-09-05,12:00,T44F1,72,91,0,13,176
2023-09-05,12:00,T44F3,104,94,0,20,218
2023-09-05,12:00,T44P1,72,138,1,14,225
2023-09-05,12:00,T44F3,134,149,0,26,309
2023-09-05,12:00,T44F1,129,127,1,21,278
2023-09-05,12:15,T44F3,161,187,7,28,383
2023-09-05,12:15,T44F1,137,213,0,16,366
2023-09-05,12:30,T44F3,149,126,0,13,288
2023-09-05,12:30,T44F1,79,151,0,21,251
2023-09-05,12:00,T44P1,133,227,1,25,386
2023-09-05,12:00,T44F1,145,164,0,28,337
2023-09-05,12:15,T44F1,148,250,0,17,415
2023-09-05,12:30,T44F1,102,201,0,26,329
2023-09-05,12:00,T44F1,144,156,0,27,327
2023-09-05,12:15,T44F1,145,230,0,15,390
2023-09-05,12:30,T44F1,96,186,0,25,307
2023-09-05,12:45,T44F1,142,186,0,7,335
2023-09-05,13:00,T44F1,0,0,0,0,0
2023-09-05,12:00,T44F1,344,310,0,40,694
2023-09-05,12:15,T44F1,248,312,0,23,583
2023-09-05,12:30,T44F1,163,295,0,35,493
2023-09-05,12:45,T44F1,307,368,1,12,688
2023-09-05,13:00,T44F1,0,0,0,0,0
2023-09-05,12:00,T44F1,118,130,0,17,265
2023-09-05,12:00,T44F2,119,147,0,18,284
2023-09-05,12:15,T44F1,143,204,0,16,363
2023-09-05,12:15,T44F2,169,189,0,8,366
2023-09-05,12:30,T44F1,67,129,0,13,209
2023-09-05,12:30,T44F2,81,140,0,5,226
2026-06-14,12:00,T44F1,113,51,0,8,172
2026-06-14,12:15,T44F1,58,63,0,8,129
2026-06-14,12:30,T44F1,94,111,0,5,210
